"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"1","Billy Jack",1971,0,112,"Contemporary Fiction","Original Screenplay","Live Action","Western",800000,98000000,0,9.8e+07,528606057,"GP",1971-01-01,NA,NA,0,0
"2","The Andromeda Strain",1971,0,131,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",6500000,12376563,0,12376563,66758428,"G",1971-01-01,NA,NA,0,0
"3","Escape from the Planet of the Apes",1971,0,NA,"Science Fiction",NA,NA,NA,2500000,12300000,0,12300000,66345451,NA,1971-01-01,NA,NA,0,0
"4","Sweet Sweetback's Baad Asssss Song",1971,0,NA,NA,NA,NA,NA,150000,15200000,0,15200000,81987877,NA,1971-01-01,"Sweet Sweetback's Baad Asssss Song - Black Urban",NA,0,0
"5","Fiddler on the Roof",1971,0,NA,"Historical Fiction","Based on Musical or Opera","Live Action","Musical",9000000,80500000,0,80500000,430926839,"G",1971-01-01,"Fiddler on the Roof - Religious",NA,0,0
"6","Bananas",1971,0,NA,NA,"Original Screenplay","Live Action","Comedy",2000000,0,0,0,0,"PG-13",1971-04-28,NA,NA,0,0
"7","Willy Wonka & the Chocolate Factory",1971,0,NA,NA,NA,NA,NA,3000000,4000000,0,4e+06,21575754,NA,1971-06-30,"Willy Wonka & the Chocolate Factory - Spoiled Child",NA,0,0
"8","The French Connection",1971,0,104,"Contemporary Fiction","Based on Factual Book/Article","Live Action","Drama",2200000,41158757,0,41158757,222007839,NA,1971-10-09,"The French Connection - Film Noir",NA,0,0
"9","Diamonds Are Forever",1971,1,120,NA,"Based on Fiction Book/Short Story","Live Action","Action",7200000,43800000,72200000,1.16e+08,236254541,"GP",1971-12-17,"Diamonds Are Forever - Secret Agent",NA,0,0
"10","Conquest of the Planet of the Apes",1972,0,NA,NA,NA,NA,NA,1700000,9700000,0,9700000,50782350,NA,1972-01-01,NA,NA,0,0
"11","The Godfather",1972,0,175,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",7000000,134966411,133533589,268500000,280898614,"R",1972-03-15,"The Godfather - Mafia",NA,302393,6
"12","Frenzy",1972,0,116,NA,"Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",3500000,12600000,0,12600000,65964700,NA,1972-06-21,NA,NA,0,0
"13","Deep Throat",1972,0,NA,NA,NA,NA,NA,25000,45000000,0,4.5e+07,235588233,NA,1972-06-30,NA,NA,0,0
"14","Everything You Always Wanted to Know",1972,0,NA,NA,"Based on Fiction Book/Short Story","Live Action","Comedy",2000000,18016290,0,18016290,94320571,NA,1972-08-11,"Everything You Always Wanted to Know - Same Actor, Multiple Roles",NA,0,0
"15","The Last House on the Left",1972,0,NA,NA,NA,NA,NA,87000,3100000,0,3100000,16229408,"R",1972-08-30,"The Last House on the Left - Sex Crimes",NA,0,0
"16","1776",1972,0,142,"Historical Fiction","Based on Play","Live Action","Musical",4000000,0,0,0,0,"PG",1972-11-09,NA,NA,0,0
"17","Battle for the Planet of the Apes",1973,1,NA,"Science Fiction",NA,NA,NA,1800000,8800000,0,8800000,44248584,NA,1973-01-01,NA,NA,0,0
"18","Pat Garrett and Billy the Kid",1973,0,NA,NA,NA,NA,NA,4638783,8000000,3000000,1.1e+07,40225989,"R",1973-05-23,NA,NA,0,0
"19","Live and Let Die",1973,1,121,NA,"Based on Fiction Book/Short Story","Live Action","Action",7000000,35400000,126400000,161800000,1.78e+08,"PG",1973-06-27,"Live and Let Die - Secret Agent",NA,0,0
"20","American Graffiti",1973,0,112,"Contemporary Fiction","Original Screenplay","Live Action","Drama",777000,115000000,25000000,1.4e+08,578248584,"PG",1973-08-11,"American Graffiti - Street Racing",NA,0,0
"21","High Plains Drifter",1972,0,NA,"Historical Fiction","Original Screenplay","Live Action","Western",5500000,15700000,0,15700000,78943498,"Not Rated",1973-08-22,"High Plains Drifter - Film Noir",NA,0,0
"22","Sleeper",1973,0,NA,NA,"Original Screenplay","Live Action","Comedy",2000000,18344729,0,18344729,92241852,NA,1973-12-17,"Sleeper - Cloning",NA,0,0
"23","Viskningar och rop",1972,0,0,"Historical Fiction","Original Screenplay","Live Action","Drama",400000,0,9400,9400,0,NA,1973-12-19,NA,NA,0,0
"24","The Sting",1973,0,129,"Historical Fiction","Original Screenplay","Live Action","Comedy",5500000,159616327,0,159616327,802590564,"PG",1973-12-25,"The Sting - Gambling",NA,0,0
"25","The Exorcist",1973,0,121,"Fantasy","Based on Fiction Book/Short Story","Live Action","Horror",12000000,202347346,197867132,400214478,891206155,"R",1973-12-26,"The Exorcist - Possessed",NA,0,0
"26","Blazing Saddles",1974,0,93,"Historical Fiction","Original Screenplay","Live Action","Comedy",2600000,119500000,0,119500000,568743313,"R",1974-02-07,"Blazing Saddles - Spoof",NA,0,0
"27","The Great Gatsby",1974,0,144,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",7000000,26533200,0,26533200,126281005,NA,1974-03-29,NA,NA,0,0
"28","The Conversation",1974,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",1600000,4420000,0,4420000,21036360,NA,1974-04-07,NA,NA,0,0
"29","The Texas Chainsaw Massacre",1974,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Horror",140000,26572439,0,26572439,126467754,"R",1974-10-18,"The Texas Chainsaw Massacre - Cannibalism",NA,0,0
"30","Benji",1974,0,NA,NA,"Original Screenplay","Live Action","Adventure",500000,31559560,0,31559560,150203253,NA,1974-11-15,"Benji - Animal Lead",NA,0,0
"31","The Godfather: Part II",1974,1,NA,"Historical Fiction",NA,NA,NA,13000000,57300000,0,57300000,272711228,"R",1974-12-11,"The Godfather: Part II - Mafia",NA,0,0
"32","Young Frankenstein",1974,0,106,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Comedy",2800000,86300000,0,86300000,410732615,"PG",1974-12-15,"Young Frankenstein - Monster","Fiery Angel",0,0
